Description,App Name,App Link
"Works with: ZoomWhen Gong and Zoom are connected, any meeting scheduled within G Suite or Office 365 is recorded, transcribed and analyzed to provide you with insights to improve sales performance, and keep on top of your game.Gong captures every customer call, web conference, and email. You can finally see how deals are progressing and what you could be doing better. The game isn't about having more conversations — it's about having better ones.Team selling wins more deals. Gong helps your team collaborate, provide feedback, and work together as a lean mean selling machine. Gong uses your team stats and industry benchmarks, sprinkles some AI dust, and shows you what works.And there's more. Want to know when a competitor came up in a call? Or how a discount request was handled?Just ask. Gong will tell you. Want to see the timeline of all your conversations with a customer? Gong has all the details.Using Gong for G Suite to schedule a meeting with a Gong consent page, using a unique Zoom meeting ID.Use Zoom's native cloud recording for capturing Zoom meetings to be analyzed by Gong",Gong for Zoom Meetings - SDK,No Link Available
"Works with: ZoomWhen Gong and Zoom are connected, any meeting scheduled within G Suite or Office 365 is recorded, transcribed and analyzed to provide you with insights to improve sales performance, and keep on top of your game.Gong captures every customer call, web conference, and email. You can finally see how deals are progressing and what you could be doing better. The game isn't about having more conversations — it's about having better ones.Team selling wins more deals. Gong helps your team collaborate, provide feedback, and work together as a lean mean selling machine. Gong uses your team stats and industry benchmarks, sprinkles some AI dust, and shows you what works.And there's more. Want to know when a competitor came up in a call? Or how a discount request was handled?Just ask. Gong will tell you. Want to see the timeline of all your conversations with a customer? Gong has all the details.Using Gong for G Suite to schedule a meeting with a Gong consent page, using a unique Zoom meeting ID.Use Zoom's native cloud recording for capturing Zoom meetings to be analyzed by Gong",Gong for Zoom Meetings,No Link Available
"Clari Copilot integrates with Zoom API to access your sales calls, It transcribes, annotates, and analyses every Zoom call so salespeople can improve conversations by understanding the voice-of-customer at scale. It can recognize different voiceprints and attribute them to other speakers on the call. With Clari Copilot, sales coaching is actionable and contextual. You don’t need to spend hours looking for the call to coach. Clari Copilot AI helps you find the right Zoom call without you listening to a single call. You can review an hour-long call in less than ten mins, share instant feedback with salespeople, and coach from anywhere.You will be able to track what’s going right and wrong on every sales call. From talk-to-listen ratio to engaging questions asked, best sales pitches to best objection handling techniques, you can build a library of best coachable moments, share, and coach your rep for success in 60 days vs 180 days.No more relying on guesstimates for sales forecasts. Clari Copilot brings deals and account-level information from CRM to give you clear visibility into 100% guaranteed deals in the pipeline, define an act, and have the ability to forecast accurately.Interested? Please write to us at info@clari.com for a personalized demo or a free trial.",Clari Copilot,No Link Available
"Clari Copilot integrates with Zoom API to access your sales calls, It transcribes, annotates, and analyses every Zoom call so salespeople can improve conversations by understanding the voice-of-customer at scale. It can recognize different voiceprints and attribute them to other speakers on the call. With Clari Copilot, sales coaching is actionable and contextual. You don’t need to spend hours looking for the call to coach. Clari Copilot AI helps you find the right Zoom call without you listening to a single call. You can review an hour-long call in less than ten mins, share instant feedback with salespeople, and coach from anywhere.You will be able to track what’s going right and wrong on every sales call. From talk-to-listen ratio to engaging questions asked, best sales pitches to best objection handling techniques, you can build a library of best coachable moments, share, and coach your rep for success in 60 days vs 180 days.No more relying on guesstimates for sales forecasts. Clari Copilot brings deals and account-level information from CRM to give you clear visibility into 100% guaranteed deals in the pipeline, define an act, and have the ability to forecast accurately.Interested? Please write to us at info@clari.com for a personalized demo or a free trial.",Clari Copilot Meeting SDK,No Link Available
"Gong unlocks reality to help people and companies reach their full potential. The patented Gong Revenue Intelligence Platform™ empowers customer-facing teams to take advantage of their most valuable assets – customer interactions, which the Gong platform automatically captures and analyzes. Gong then delivers insights at scale, empowering revenue and go-to-market teams to determine the best actions for winning outcomes. Thousands of innovative companies like Morningstar Inc., Paychex, LinkedIn, Shopify, Slack, SproutSocial, Twilio, and Zillow trust Gong to power their customer reality. Gong is a private company headquartered in the San Francisco Bay Area. For more information visit www.gong.io.",Gong for Zoom Phone,No Link Available
"Gong unlocks reality to help people and companies reach their full potential. The patented Gong Revenue Intelligence Platform™ empowers customer-facing teams to take advantage of their most valuable assets – customer interactions, which the Gong platform automatically captures and analyzes. Gong then delivers insights at scale, empowering revenue and go-to-market teams to determine the best actions for winning outcomes. Thousands of innovative companies like Morningstar Inc., Paychex, LinkedIn, Shopify, Slack, SproutSocial, Twilio, and Zillow trust Gong to power their customer reality. Gong is a private company headquartered in the San Francisco Bay Area. For more information visit www.gong.io.",Gong for Zoom Phone SMS,No Link Available
"JamRoll is a Conversation Intelligence platform, which automatically records, transcribes and analyzes your Zoom meetings to enhance your team collaboration in sales and team meetings. Like a jazz jam session, JamRoll supports you to collaborate with your team members and create your personalized business negotiation and meeting management skills and narratives by accumulating and analyzing your colleagues' skills and narratives with the conversation intelligence. It is truly a jam roll that becomes sweet and delicious with multiple layers of cake and jam as the many layers of recorded team members' experiences and skills create a wonderful asset for your team sales and meeting activities!・Voice recognition and NLP to accumulate the expertise of individual team membersSpeech recognition and natural language processing automatically create minutes and detect important keywords and topics during the meeting. By sharing not only the negotiation skills of top salespeople analyzed by speech recognition and NLP including recorded meeting videos, but also the skills of facilitators who successfully facilitate meetings with all team members, JamRoll accumulates the expertise of individual team members as a team asset.・Emotion analysis to enhance mental care of team members working remotelyJamRoll analyze team members' emotion from their speech, which enables mental care for members working remotely. This emotion analysis function is also useful for online counseling and coaching.",JamRoll,No Link Available
"JamRoll is a Conversation Intelligence platform, which automatically records, transcribes and analyzes your Zoom meetings to enhance your team collaboration in sales and team meetings. Like a jazz jam session, JamRoll supports you to collaborate with your team members and create your personalized business negotiation and meeting management skills and narratives by accumulating and analyzing your colleagues' skills and narratives with the conversation intelligence. It is truly a jam roll that becomes sweet and delicious with multiple layers of cake and jam as the many layers of recorded team members' experiences and skills create a wonderful asset for your team sales and meeting activities!・Voice recognition and NLP to accumulate the expertise of individual team membersSpeech recognition and natural language processing automatically create minutes and detect important keywords and topics during the meeting. By sharing not only the negotiation skills of top salespeople analyzed by speech recognition and NLP including recorded meeting videos, but also the skills of facilitators who successfully facilitate meetings with all team members, JamRoll accumulates the expertise of individual team members as a team asset.・Emotion analysis to enhance mental care of team members working remotelyJamRoll analyze team members' emotion from their speech, which enables mental care for members working remotely. This emotion analysis function is also useful for online counseling and coaching.",JamRoll with Cloud Recording,No Link Available
"Fantastical integrates with Zoom to allow you to quickly create and attach Zoom meetings to your event invitations.This app allows you to connect your Zoom account to Fantastical for Mac. If you want to connect your Zoom account to Fantastical for iOS, please use the Fantastical for iOS app.Sign in to your Zoom account in Fantastical and you will be able to create Zoom meetings whenever you create an event in Fantastical. The Zoom meeting information, including URL, password, and dial-in phone numbers will automatically be added to the event notes, making it easy for everyone invited to join the meeting.Fantastical's Zoom integration is available for Mac, iOS, and iPadOS.",Fantastical,No Link Available
"Fantastical integrates with Zoom to allow you to quickly create and attach Zoom meetings to your event invitations.This app allows you to connect your Zoom account to Fantastical for Mac. If you want to connect your Zoom account to Fantastical for iOS, please use the Fantastical for iOS app.Sign in to your Zoom account in Fantastical and you will be able to create Zoom meetings whenever you create an event in Fantastical. The Zoom meeting information, including URL, password, and dial-in phone numbers will automatically be added to the event notes, making it easy for everyone invited to join the meeting.Fantastical's Zoom integration is available for Mac, iOS, and iPadOS.",Fantastical for Mac,No Link Available
