data_type,collector,purpose
Google,tool,"analytics, services"
UNSPECIFIED_DATA,we,
cookie / pixel tag,we,
country of residence,we,
domain from provide form input,tool,"analytics, services"
email address,we,
financial information,we,
information about source refer you to we,we,
key tie to face video datum,we,
log file,web server,
password,we,
person name,we,
personal identifier,UNSPECIFIED_ACTOR,
personal identifier,individual,
personal identifier,we,
phone number,we,
postal address,we,
small text file website store s on computer,we,
status of face video datum collect,we,
usage information about you include webpage you visit what you click on,we,
user information,UNSPECIFIED_ACTOR,
user information,individual,
username,we,
