data_type,collector,purpose
UNSPECIFIED_DATA,analytic provider,
UNSPECIFIED_DATA,we,"security, services"
access to information service obtain about you,we,"security, services, analytics, advertising, legal"
calendar datum,we,"security, services"
email address,we,"security, services, analytics"
exceed ai ltd.,we,"security, services, analytics, advertising, legal"
file,we,"security, services, analytics"
information about you,we,"security, services, analytics, advertising, legal"
information we have,we,"security, services, analytics"
person name,we,"security, services, analytics"
personal information of end user,we,"security, services, analytics, advertising, legal"
phone number,we,"security, services, analytics, advertising, legal"
public information from profile on service,we,"security, services, analytics, advertising, legal"
select password,we,"security, services, analytics, advertising, legal"
specific information,we,"security, services, analytics, advertising, legal"
specific piece,UNSPECIFIED_ACTOR,"advertising, legal, services"
specific piece,individual,"advertising, services"
specific piece,we,"security, services, analytics, advertising, legal"
