data_type,collector,purpose
Facebook,widget,
Microsoft,widget,
Twitter,widget,
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"advertising, services"
UNSPECIFIED_DATA,customer portal,
UNSPECIFIED_DATA,we,"advertising, services"
browser type,we,"advertising, services"
clickstream datum analyze trend in aggregate,we,"advertising, services"
cookie / pixel tag,UNSPECIFIED_ACTOR,"advertising, services, analytics"
cookie / pixel tag,we,"advertising, services, analytics"
date time stamp,we,"advertising, services"
demographic information about user base as whole,UNSPECIFIED_ACTOR,"advertising, services, analytics"
demographic information about user base as whole,we,"advertising, services, analytics"
file view on site,we,"advertising, services"
information about,we,"advertising, services, analytics"
information collect through automate mean,we,"advertising, services, analytics"
information describe,we,"advertising, services, analytics"
ip address,social media,
ip address,we,"advertising, services, analytics"
ip address,widget,
personal datum we process on behalf of customer,we,"advertising, services, analytics"
personal information,UNSPECIFIED_ACTOR,"advertising, services, analytics"
personal information,company help,
personal information,we,"advertising, services, analytics"
