data_type,collector,purpose
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,
UNSPECIFIED_DATA,actual successor,
UNSPECIFIED_DATA,affiliated parties,
UNSPECIFIED_DATA,intellum,
UNSPECIFIED_DATA,we,"analytics, legal, security, services"
archive copy of record,we,"analytics, legal, security, services"
browsing / search history,we,"analytics, legal, security, services"
browsing information,we,"analytics, legal, security, services"
company seek,actual successor,
email address,intellum,
email address,we,"analytics, legal, security, services"
information on learning training activity within learning management system,we,"analytics, legal, security, services"
person name,intellum,
person name,we,"analytics, legal, security, services"
personal data request,intellum,
personal data strip of identify characteristic,UNSPECIFIED_ACTOR,
personal data strip of identify characteristic,intellum,
personal data strip of identify characteristic,we,"analytics, legal, security, services"
postal address,intellum,
postal address,we,"analytics, legal, security, services"
response to sponsor web site survey,we,"analytics, legal, security, services"
survey information,we,"analytics, legal, security, services"
training information,we,"analytics, legal, security, services"
