data_type,collector,purpose
UNSPECIFIED_DATA,meta,
UNSPECIFIED_DATA,we,"legal, services"
advertising id,UNSPECIFIED_ACTOR,
advertising id,advertiser,
advertising id,analytic provider,
advertising id,consultant,
advertising id,pagerduty,
advertising id,pagerduty,"advertising, analytics, legal, security, services"
advertising id,service provider,
advertising id,we,"legal, services"
advertising id,youtube,
authentication credential for account,pagerduty,
browser type,UNSPECIFIED_ACTOR,
browser type,advertiser,
browser type,analytic provider,
browser type,consultant,
browser type,pagerduty,
browser type,pagerduty,"advertising, analytics, legal, security, services"
browser type,service provider,
browser type,we,"legal, services"
browser type,youtube,
browsing / search history,UNSPECIFIED_ACTOR,
browsing / search history,advertiser,
browsing / search history,analytic provider,
browsing / search history,consultant,
browsing / search history,pagerduty,
browsing / search history,pagerduty,"advertising, analytics, legal, security, services"
browsing / search history,service provider,
browsing / search history,we,"legal, services"
browsing / search history,youtube,
coarse geolocation,UNSPECIFIED_ACTOR,
coarse geolocation,advertiser,
coarse geolocation,analytic provider,
coarse geolocation,consultant,
coarse geolocation,pagerduty,
coarse geolocation,pagerduty,"advertising, analytics, legal, security, services"
coarse geolocation,service provider,
coarse geolocation,we,"legal, services"
coarse geolocation,youtube,
contact information,UNSPECIFIED_ACTOR,
contact information,advertiser,
contact information,analytic provider,
contact information,consultant,
contact information,pagerduty,"advertising, analytics, legal, security, services"
contact information,service provider,
contact information,we,"legal, services"
contact information,youtube,
cookie / pixel tag,UNSPECIFIED_ACTOR,
cookie / pixel tag,advertiser,
cookie / pixel tag,analytic provider,
cookie / pixel tag,consultant,
cookie / pixel tag,meta,
cookie / pixel tag,pagerduty,
cookie / pixel tag,pagerduty,"advertising, analytics, legal, security, services"
cookie / pixel tag,service provider,
cookie / pixel tag,we,"legal, services"
cookie / pixel tag,youtube,
country,UNSPECIFIED_ACTOR,
country,advertiser,
country,analytic provider,
country,consultant,
country,pagerduty,
country,pagerduty,"advertising, analytics, legal, security, services"
country,service provider,
country,we,"legal, services"
country,youtube,
current company information,UNSPECIFIED_ACTOR,
current company information,advertiser,
current company information,analytic provider,
current company information,consultant,
current company information,pagerduty,"advertising, analytics, legal, security, services"
current company information,service provider,
current company information,we,"legal, services"
current company information,youtube,
device identifier,UNSPECIFIED_ACTOR,
device identifier,advertiser,
