data_type,collector,purpose
UNSPECIFIED_DATA,we,"analytics, legal, services"
cookie / pixel tag,we,"analytics, legal, services"
copy of prior version,we,"analytics, legal, services"
device identifier,we,"analytics, legal, services"
device setting,we,"analytics, legal, services"
device type,we,"analytics, legal, services"
email address,we,"analytics, legal, services, security"
full detail of allege breach,we,"analytics, legal, services"
geolocation,we,"analytics, legal, services"
information about you,we,"analytics, legal, services"
information gather,we,"analytics, legal, services"
information we collect,we,"analytics, legal, services"
operate system,we,"analytics, legal, services"
person name,we,"analytics, legal, services, security"
personal information we hold about you,UNSPECIFIED_ACTOR,
personal information we hold about you,we,"analytics, legal, services, security"
phone number,we,"analytics, legal, services, security"
specific piece,we,"analytics, legal, services, security"
