data_type,collector,purpose
cookie / pixel tag,we,
email address,lemlist,
information from contact list,we,"analytics, legal, services"
number of email send with lemlist you open,we,"analytics, legal, services"
personal datum submit in accordance with rule set,we,"analytics, legal, services"
personal datum submit in context of,we,"analytics, legal, services"
personal datum submit to we,we,"analytics, legal, services"
personal information,company register under france law number with paris trade register,
personal information,country deem,
personal information,lempire sas,
personal information,we,"analytics, legal, services"
rate,we,"analytics, legal, services"
