data_type,collector,purpose
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,
UNSPECIFIED_DATA,contractor,
UNSPECIFIED_DATA,service provider,
UNSPECIFIED_DATA,we,"advertising, analytics, legal, services"
contact information,we,"advertising, analytics, legal, services"
cookie / pixel tag,we,"advertising, analytics, legal, services"
credit / debit card number,we,"advertising, analytics, legal, services"
email address,we,"advertising, analytics, legal, services"
feedback,we,"advertising, analytics, legal, services"
information about you,we,"advertising, analytics, legal, services"
information describe in section call,we,"advertising, analytics, legal, services"
information we collect,we,"advertising, analytics, legal, services"
information we receive,we,"advertising, analytics, legal, services"
information you allow,we,"advertising, analytics, legal, services"
option,we,"advertising, analytics, legal, services"
password,we,"advertising, analytics, legal, services"
password hint,we,"advertising, analytics, legal, services"
payment datum,payment processor,
payment information,we,"advertising, analytics, legal, services"
person name,we,"advertising, analytics, legal, services"
personal information collect via site,we,"advertising, analytics, legal, services"
personal information you send to we,third party marketing partner,advertising
personal information you send to we,we,"advertising, analytics, legal, services"
phone number,we,"advertising, analytics, legal, services"
postal address,we,"advertising, analytics, legal, services"
profile information,we,"advertising, analytics, legal, services"
profile information about you,we,"advertising, analytics, legal, services"
security code associate with payment instrument,we,"advertising, analytics, legal, services"
security datum,we,"advertising, analytics, legal, services"
security information use for authentication,we,"advertising, analytics, legal, services"
social login datum,we,"advertising, analytics, legal, services"
zcal inc.,we,"advertising, analytics, legal, services"
